Iteration 	NB	KNN
 1 : 	82.5	57.99999999999999
 2 : 	88.0	69.0
 3 : 	82.0	63.0
 4 : 	88.5	68.5
 5 : 	90.0	66.5
 6 : 	86.0	68.5
 7 : 	83.5	67.5
 8 : 	79.0	67.5
 9 : 	87.5	67.5
 10 : 	82.0	69.5
 11 : 	88.0	69.0
 12 : 	88.0	68.0
 13 : 	80.5	67.0
 14 : 	88.5	66.0
 15 : 	88.5	62.5
 16 : 	76.0	66.0
 17 : 	86.0	74.0
 18 : 	88.0	67.5
 19 : 	86.0	69.5
 20 : 	87.0	69.0
 21 : 	80.0	62.0
 22 : 	81.5	68.5
 23 : 	79.0	67.0
 24 : 	88.5	71.0
 25 : 	85.5	63.0
 26 : 	84.5	69.5
 27 : 	85.0	69.5
 28 : 	86.5	66.5
 29 : 	88.0	75.0
 30 : 	82.0	66.5
 31 : 	88.0	65.0
 32 : 	87.0	65.5
 33 : 	88.5	72.0
 34 : 	86.5	69.0
 35 : 	88.5	70.0
 36 : 	82.5	69.5
 37 : 	88.0	68.5
 38 : 	87.0	70.0
 39 : 	86.5	68.5
 40 : 	87.0	66.0
 41 : 	88.5	74.0
 42 : 	88.0	72.5
 43 : 	86.5	67.5
 44 : 	88.5	72.0
 45 : 	82.0	64.5
 46 : 	89.0	71.0
 47 : 	85.5	73.0
 48 : 	85.5	71.0
 49 : 	88.0	68.0
 50 : 	84.5	70.0
KNN:	Mean = 68.2	Std = 10.561224489795919
NB:	Mean = 85.63	Std = 10.140918367346954
T-value : 	0.6682605244132699
D.O.F : 	97.95962170937524
