Serial 	Alpha	Accuracy
1	5.0E-4	87.5
2	0.001	87.5
3	0.0015	88.5
4	0.002	88.5
5	0.0025	88.0
6	0.003	88.0
7	0.0035	88.0
8	0.004	88.0
9	0.0045000000000000005	88.0
10	0.005000000000000001	88.0
11	0.005500000000000001	88.0
12	0.006000000000000002	88.0
13	0.006500000000000002	88.0
14	0.007000000000000003	88.0
15	0.007500000000000003	88.0
16	0.008000000000000004	88.0
17	0.008500000000000004	87.5
18	0.009000000000000005	87.5
19	0.009500000000000005	87.5
20	0.010000000000000005	87.5
21	0.010500000000000006	87.5
22	0.011000000000000006	87.5
23	0.011500000000000007	87.5
24	0.012000000000000007	87.5
25	0.012500000000000008	87.5
26	0.013000000000000008	87.5
27	0.013500000000000009	87.5
28	0.014000000000000009	87.5
29	0.01450000000000001	87.5
30	0.01500000000000001	87.5
31	0.01550000000000001	87.5
32	0.01600000000000001	87.5
33	0.01650000000000001	87.5
34	0.01700000000000001	87.5
35	0.017500000000000012	87.0
36	0.018000000000000013	87.0
37	0.018500000000000013	87.0
38	0.019000000000000013	87.0
39	0.019500000000000014	87.0
40	0.020000000000000014	87.0
41	0.020500000000000015	87.0
42	0.021000000000000015	87.0
43	0.021500000000000016	87.0
44	0.022000000000000016	87.0
45	0.022500000000000017	87.0
46	0.023000000000000017	87.0
47	0.023500000000000017	87.0
48	0.024000000000000018	87.0
49	0.02450000000000002	87.0
50	0.02500000000000002	87.0
BestAlpha : 0.0015	Best Accuracy : 88.5
